Rank,Batsam Name,Total Runs Scored,Average,Strikerate
89,Ishan Kishan,701,22.61290323,132.0150659
90,TL Suman,676,22.53333333,117.9755672
91,AM Nayar,672,17.23076923,117.0731707
92,GJ Bailey,663,22.86206897,122.0994475
93,BA Stokes,641,21.36666667,133.2640333
94,SA Yadav,608,20.96551724,130.7526882
95,JD Ryder,604,20.82758621,132.4561404
96,P Shaw,604,25.16666667,142.7895981
97,PP Chawla,584,11.68,112.5240848
98,HM Amla,577,44.38461538,141.7690418
99,V Shankar,563,33.11764706,135.3365385
100,CJ Anderson,538,24.45454545,127.1867612
101,RS Bopara,531,27.94736842,117.4778761
102,JP Faulkner,527,18.82142857,136.1757106
103,DJ Hooda,526,15.93939394,127.3607748
104,CH Morris,519,25.95,158.7155963
105,M Manhas,514,21.41666667,109.5948827
106,S Gill,510,36.42857143,135.2785146
107,OA Shah,506,38.92307692,131.0880829
108,PC Valthaty,505,22.95454545,121.686747
109,MP Stoinis,476,31.73333333,131.4917127
110,J Bairstow,459,57.375,161.6197183
111,DT Christian,448,18.66666667,120.1072386
112,Gurkeerat Singh,443,17.03846154,129.5321637
113,E Lewis,437,27.3125,133.6391437
114,NLTC Perera,424,17.66666667,139.0163934
115,SA Asnodkar,423,22.26315789,124.7787611
116,JR Hopes,417,24.52941176,136.7213115
117,SN Khan,412,22.88888889,144.5614035
118,J Botha,409,18.59090909,114.2458101
119,LR Shukla,405,13.96551724,117.0520231
120,AL Menaria,401,18.22727273,112.6404494
121,MV Boucher,394,26.26666667,127.9220779
122,CA Pujara,390,21.66666667,99.74424552
123,Azhar Mahmood,388,20.42105263,128.4768212
124,R Ashwin,376,11.39393939,111.9047619
125,DB Ravi Teja,375,18.75,118.29653
126,S Sohal,368,20.44444444,126.8965517
127,A Mishra,366,12.62068966,95.06493506
128,P Negi,365,14.03846154,126.7361111
129,R Bhatia,342,11.79310345,120.4225352
130,P Kumar,340,10,108.2802548
131,AP Tare,339,14.125,124.1758242
132,SW Billings,337,17.73684211,134.8
133,JEC Franklin,327,29.72727273,109
134,RN ten Doeschate,326,19.17647059,139.3162393
135,KV Sharma,317,15.0952381,117.4074074
136,R Vinay Kumar,310,11.92307692,114.3911439
137,DB Das,304,25.33333333,116.9230769
138,C de Grandhomme,304,20.26666667,136.32287
139,M Ali,302,30.2,170.6214689
140,LA Pomersbach,302,27.45454545,123.7704918
141,UBT Chand,300,15,100
142,SP Goswami,295,16.38888889,101.7241379
143,DJG Sammy,295,19.66666667,122.406639
144,Y Nagar,285,19,110.8949416
145,VVS Laxman,282,17.625,106.0150376
146,GH Vihari,280,15.55555556,89.74358974
147,A Ashish Reddy,280,18.66666667,146.5968586
148,B Chipli,280,17.5,112
149,MJ Lumb,278,27.8,144.0414508
150,MJ Guptill,271,22.58333333,138.2653061
151,R Sathish,270,16.875,116.8831169
152,M Kaif,259,16.1875,104.0160643
153,SM Katich,241,24.1,130.9782609
154,BCJ Cutting,239,21.72727273,169.5035461
155,MD Mishra,237,15.8,113.9423077
156,MR Marsh,225,18.75,114.7959184
157,K Goel,218,16.76923077,94.7826087
158,AA Jhunjhunwala,217,15.5,103.3333333
159,TM Head,205,34.16666667,138.5135135
160,PD Collingwood,203,50.75,130.1282051
161,SK Warne,198,10.42105263,92.95774648
162,SP Fleming,196,21.77777778,118.7878788
163,AS Raut,194,17.63636364,116.1676647
164,BJ Rohrer,193,27.57142857,136.8794326
165,Salman Butt,193,27.57142857,119.8757764
166,YV Takawale,192,24,107.8651685
167,Bipul Sharma,187,31.16666667,154.5454545
168,C Ingram,184,18.4,119.4805195
169,B Kumar,184,8,97.35449735
170,FY Fazal,183,20.33333333,106.3953488
171,JJ Roy,183,36.6,135.5555556
172,CR Brathwaite,182,13,165.4545455
173,AC Voges,181,30.16666667,127.4647887
174,AB Agarkar,179,22.375,117.7631579
175,C Munro,178,19.77777778,126.2411348
176,MF Maharoof,177,17.7,145.0819672
177,DH Yagnik,170,18.88888889,125.9259259
178,N Pooran,170,28.33333333,160.3773585
179,CM Gautam,169,18.77777778,114.1891892
180,MG Johnson,168,12,104.3478261
181,MN van Wyk,167,55.66666667,126.5151515
182,DW Steyn,166,7.545454545,105.7324841
183,PA Reddy,164,16.4,102.5
184,R Parag,161,40.25,127.7777778
185,MN Samuels,161,13.41666667,94.15204678
186,Ankit Sharma,160,16,148.1481481
187,RE van der Merwe,159,14.45454545,112.7659574
188,R McLaren,159,19.875,94.08284024
189,R Dhawan,153,21.85714286,113.3333333
190,A Hales,150,25,127.1186441
191,SM Pollock,147,18.375,132.4324324
192,S Vidyut,145,18.125,134.2592593
193,K Gowtham,145,12.08333333,174.6987952
194,Mohammad Nabi,142,17.75,156.043956
195,N Saini,142,11.83333333,98.61111111
196,Sachin Baby,137,15.22222222,135.6435644
197,S Anirudha,136,17,123.6363636
198,SB Styris,131,18.71428571,98.4962406
199,W Jaffer,130,18.57142857,107.4380165
200,S Gopal,129,16.125,109.3220339
